fid;Tipologia d'espai;Carrer;Barri;Tipologia;Notes;Revisió;X;Y;GENERE
2325;Club/Bar;C. Pons i Gallarza;Sant Andreu;Bar;;No;432233,9221;4587407,036;MASC
2326;Club/Bar;C. Pons i Gallarza;Sant Andreu;Bar;;No;432254,2317;4587401,208;MASC
2327;Club/Bar;C. Gran de Sant Andreu;Sant Andreu;Bodega;;No;432294,851;4587394,497;MASC
2328;Club/Bar;C. Gordi;Sant Andreu;Bar;;No;432254,5849;4587423,637;MASC
2329;Club/Bar;C. Pons i Gallarza;Sant Andreu;Bar;;No;432269,773;4587401,738;MASC
2330;Club/Bar;C. Pons i Gallarza;Sant Andreu;Bar;;No;432263,4152;4587401,031;MASC
2331;Laboral (oficines);C. Gran de Sant Andreu;Sant Andreu;Immobiliaria;;No;432295,2042;4587439,531;MASC
2332;Comerç;C. Gran de Sant Andreu;Sant Andreu;Esports;;No;432288,6698;4587343,458;MASC
2333;Laboral (oficines);C. Gran de Sant Andreu;Sant Andreu;Banc;BBVA;No;432314,6309;4587527,481;MASC
2334;Club/Bar;C. Gran de Sant Andreu;Sant Andreu;Bar;;No;432310,9221;4587513,529;MASC
2335;Laboral (oficines);C. Gran de Sant Andreu;Sant Andreu;Immobiliaria;;No;432314,8075;4587497,635;MASC
2336;Club/Bar;C. de Malats;Sant Andreu;Restaurant;Asia;No;432326,4634;4587487,921;MASC
2337;Comerç;C. de Santa Maria;Sant Andreu;Estanc;;No;432360,6366;4587555,031;MASC
2338;Comerç;C. Gran de Sant Andreu;Sant Andreu;Ferreteria;;No;432296,6171;4587549,027;MASC
2339;Comerç;C. de Malats;Sant Andreu;Mecànic;;No;432229,5069;4587497,635;MASC
2340;Club/Bar;C. de Malats;Sant Andreu;Bar;;No;432256,7042;4587493,749;MASC
2341;Comerç;C. de Malats;Sant Andreu;Perruqueria;;No;432267,1239;4587475,206;MASC
2342;Club/Bar;C. de Sant Maria;Sant Andreu;Bar;;No;432220,8533;4587479,974;MASC
2343;Comerç;C. de Sant Maria;Sant Andreu;Reformes;;No;432215,5551;4587454,013;MASC
2344;Club/Bar;C. Pons i Gallarza;Sant Andreu;Bar;;No;432190,8303;4587423,46;MASC
2345;Laboral (oficines);C. de Vintró;Sant Andreu;Immobiliaria;;No;432169,461;4587409,155;MASC
2346;Laboral (oficines);Plaça del Mercadal;Sant Andreu;Immobiliaria;;No;432189,5941;4587363,591;MASC
2347;Club/Bar;C. de Vintró;Sant Andreu;Bar;;No;432169,2844;4587400,678;MASC
2348;Comerç;Plaça del Mercadal;Sant Andreu;Reformes;;No;432161,5138;4587350,522;MASC
2349;Club/Bar;Plaça del Mercadal;Sant Andreu;Bar;;No;432160,8073;4587326,327;MASC
2350;Comerç;Plaça del Mercadal;Sant Andreu;Roba;;No;432166,1055;4587320,322;MASC
2351;Club/Bar;C. de Vintró;Sant Andreu;Bar;;No;432161,1606;4587288,18;MASC
2352;Esport;C. de Rubén Dario;Sant Andreu;Gimnàs;;No;432127,9587;4587289,24;MASC
2353;Club/Bar;C. Pons i Gallarza;Sant Andreu;Bar;;No;432103,9403;4587422,754;MASC
2354;Esport;C. Pons i Gallarza;Sant Andreu;Gimnàs;;No;431935,1053;4587426,109;MASC
2355;Laboral (oficines);C. de Malats;Sant Andreu;Assegurances;;No;432175,1124;4587511,586;MASC
2356;Comerç;C. de Còrdova;Sant Andreu;Reformes;;No;432182,883;4587521,83;MASC
2357;Comerç;C. de Servet;Sant Andreu;Reformes;;No;432182,1766;4587591,236;MASC
2358;Club/Bar;C. de la Segarra;Sant Andreu;Bar;;No;432183,0597;4587628,323;MASC
2359;Laboral (oficines);C. Gran de Sant Andreu;Sant Andreu;Assegurances;;No;432295,7341;4587567,924;MASC
2360;Club/Bar;C. Gran de Sant Andreu;Sant Andreu;Bar;;No;432295,5575;4587574,811;MASC
2361;Laboral (oficines);C. Gran de Sant Andreu;Sant Andreu;Assegurances;;No;432274,5414;4587612,605;MASC
2362;Comerç;C. Gran de Sant Andreu;Sant Andreu;Ferreteria;;No;432286,7272;4587588,586;MASC
2363;Club/Bar;C. Gran de Sant Andreu;Sant Andreu;Bar;;No;432247,8739;4587660,642;MASC
2364;Laboral (oficines);C. de la Segarra;Sant Andreu;Assegurances;;No;432192,2431;4587665,057;MASC
2365;Comerç;C. de la Segarra;Sant Andreu;Reformes;;No;432190,4771;4587660,112;MASC
2366;Comerç;Plaça de Marià Brossa;Sant Andreu;Fusteria;;No;432154,9794;4587608,543;MASC
2367;Comerç;Plaça de Marià Brossa;Sant Andreu;Mecànic;;No;432150,3876;4587589,116;MASC
2368;Comerç;Plaça de Marià Brossa;Sant Andreu;Reformes;;No;432162,0436;4587586,467;MASC
2369;Esport;C. de Servet;Sant Andreu;Gimnàs;;No;432059,7889;4587621,965;MASC
2370;Club/Bar;C. de Servet;Sant Andreu;Bar;;No;432067,7362;4587608,719;MASC
2371;Club/Bar;C. de Malats;Sant Andreu;Bar;;No;432013,3416;4587539,667;MASC
2372;Comerç;C. de Mir;Sant Andreu;Mecànic;;No;432038,243;4587501,167;MASC
2373;Comerç;C. de Mir;Sant Andreu;Mecànic;;No;432005,571;4587499,401;MASC
2374;Laboral (oficines);C. de Malats;Sant Andreu;Assessoria;;No;431957,181;4587555,031;MASC
2375;Comerç;C. de Malats;Sant Andreu;Mecànic;;No;431941,4631;4587558,917;MASC
2376;Comerç;C. de Malats;Sant Andreu;Reformes;;No;431944,1122;4587577,46;MASC
2377;Comerç;C. de Cabrera;Sant Andreu;Reformes;;No;431921,5067;4587482,623;MASC
2378;Club/Bar;Av. Meridiana;Sant Andreu;Bar;Nepalí;No;431877,3553;4587457,722;MASC
2379;Club/Bar;Av. Meridiana;Sant Andreu;Bar;;No;431887,2452;4587497,105;MASC
2380;Club/Bar;Av. Meridiana;Sant Andreu;Restaurant;;No;431894,6626;4587525,715;MASC
2381;Comerç;Av. Meridiana;Sant Andreu;Reformes;;No;431910,3805;4587588,057;MASC
2382;Club/Bar;Av. Meridiana;Sant Andreu;Bar;;No;431916,5617;4587612,252;MASC
2383;Club/Bar;C. de Servet;Sant Andreu;Bar;;No;431931,7498;4587642,981;MASC
2384;Comerç;Av. Meridiana;Sant Andreu;Estanc;;No;431923,4494;4587638,036;MASC
2385;Comerç;Av. Meridiana;Sant Andreu;Reformes;;No;431921,8599;4587630,619;MASC
